# DESCRIPTION:
# Reference: Hai Cheng, Christoph Spötl, Sebastian F.M. Breitenbach, Ashish Sinha, Jasper A. Wassenburg, Klaus Peter Jochum, Denis Scholz, Xianglei Li, Liang Yi, Youbing Peng, Yanbin Lv, Pingzhong Zhang, Antonina Votintseva, Vadim Loginov, Youfeng Ning, Gayatri Kathayat and R. Lawrence Edwards. 2016. Climate variations of Central Asia on orbital to millennial timescales. Scientific Reports, 5, 36975. doi: 10.1038/srep36975.
# Data from: https://www.ncdc.noaa.gov/paleo/study/21350. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Empty data points were removed.

Depth [mm],Age [ka BP],d13C [per mil VPDB],d18O [per mil VPDB],Sr/Ca,S/Ca [per mil VPDB]
28.1,11.638,0.92,-7.43,NaN,NaN
28.2,11.649,0.89,-7.37,0.0012,0.00047
28.3,11.66,0.93,-7.16,NaN,NaN
28.4,11.672,0.94,-6.98,0.00106,0.00047
28.5,11.683,0.99,-7.06,NaN,NaN
28.6,11.694,1.05,-6.94,0.00123,0.00052
28.7,11.705,0.99,-7.02,NaN,NaN
28.8,11.717,1.07,-6.88,0.00134,0.0005
28.9,11.728,1.09,-6.84,NaN,NaN
29,11.739,1.45,-6.45,0.00123,0.00049
29.1,11.75,1.38,-6.52,NaN,NaN
29.2,11.762,1.66,-6.13,0.00124,0.00046
29.3,11.773,1.7,-5.99,NaN,NaN
29.4,11.784,1.75,-5.82,0.00134,0.00053
29.5,11.795,1.87,-5.67,NaN,NaN
29.6,11.807,1.74,-5.73,0.00151,0.00052
29.7,11.818,1.85,-5.74,NaN,NaN
29.8,11.829,1.94,-5.51,0.00147,0.00045
29.9,11.84,1.89,-5.53,NaN,NaN
30,11.852,1.78,-5.7,0.00151,0.0005
30.1,11.863,1.85,-5.67,NaN,NaN
30.2,11.874,1.83,-5.69,0.00141,0.00052
30.3,11.885,1.86,-5.68,NaN,NaN
30.4,11.897,1.73,-5.68,0.00151,0.00051
30.5,11.908,1.75,-5.67,NaN,NaN
30.6,11.919,1.78,-5.71,0.00145,0.00048
30.7,11.931,1.76,-5.69,NaN,NaN
30.8,11.942,1.79,-5.71,0.00145,0.0006
30.9,11.953,1.83,-5.66,NaN,NaN
31,11.964,1.87,-5.64,0.00156,0.00056
31.1,11.976,2.01,-5.67,NaN,NaN
31.2,11.987,1.88,-5.57,0.00145,0.00057
31.3,11.998,1.92,-5.7,NaN,NaN
31.4,12.009,1.94,-5.55,0.00143,0.00061
31.5,12.021,2.03,-5.57,NaN,NaN
31.6,12.032,2.02,-5.54,0.00158,0.00061
31.7,12.043,1.98,-5.55,NaN,NaN
31.8,12.054,1.94,-5.5,0.00145,0.00057
31.9,12.066,1.92,-5.46,NaN,NaN
32,12.077,1.83,-5.51,0.00151,0.00057
32.1,12.096,1.73,-5.58,NaN,NaN
32.2,12.116,1.69,-5.48,0.00147,0.00059
32.3,12.135,1.63,-5.66,NaN,NaN
32.4,12.155,1.63,-5.64,0.00147,0.00057
32.5,12.174,1.64,-5.56,NaN,NaN
32.6,12.194,1.72,-5.53,0.00147,0.0006
32.7,12.213,1.72,-5.51,NaN,NaN
32.8,12.233,1.75,-5.47,0.00158,0.0006
32.9,12.253,1.68,-5.49,NaN,NaN
33,12.272,1.67,-5.68,0.00151,0.00062
33.1,12.292,1.67,-5.62,NaN,NaN
33.2,12.311,1.92,-5.38,0.00157,0.00057
33.3,12.331,1.75,-5.4,NaN,NaN
33.4,12.35,1.73,-5.5,0.00149,0.00064
33.5,12.37,1.7,-5.43,NaN,NaN
33.6,12.389,1.76,-5.33,0.00138,0.0006
33.7,12.409,1.89,-5.31,NaN,NaN
33.8,12.428,1.91,-5.28,0.00148,0.00051
33.9,12.448,2.04,-5.17,NaN,NaN
34,12.467,1.92,-5.24,0.00146,0.00054
34.1,12.487,1.95,-5.16,NaN,NaN
34.2,12.506,2.07,-5.14,0.00154,0.00055
34.3,12.526,2.14,-5.23,NaN,NaN
34.4,12.545,NaN,NaN,0.00149,0.00054
34.5,12.565,2.13,-5.29,NaN,NaN
34.6,12.584,2.13,-5.31,0.00148,0.00059
34.7,12.604,2.21,-5.31,NaN,NaN
34.8,12.623,2.58,-5.15,0.00161,0.00051
34.9,12.643,2.95,-4.97,NaN,NaN
35,12.662,2.96,-4.99,0.00148,0.00052
35.1,12.682,3.14,-4.92,NaN,NaN
35.2,12.701,3.08,-4.97,0.00146,0.00061
35.3,12.721,3.26,-4.78,NaN,NaN
35.4,12.74,3.33,-4.9,0.00155,0.00054
35.5,12.76,3.32,-4.87,NaN,NaN
35.6,12.779,3.46,-4.91,0.00151,0.00052
35.7,12.799,3.26,-5.08,NaN,NaN
35.8,12.818,3.07,-5.21,0.0015,0.00054
35.9,12.838,2.87,-5.3,NaN,NaN
36,12.857,2.61,-5.59,0.00148,0.00056
36.1,12.877,2.34,-5.78,NaN,NaN
36.2,12.896,2.33,-5.92,0.00141,0.00062
36.3,12.916,2.28,-6.03,NaN,NaN
36.4,12.936,2.29,-6.15,0.0014,0.00057
36.5,12.955,2.25,-6.09,NaN,NaN
36.6,12.975,2.14,-6.21,0.00134,0.00051
36.7,12.994,2.1,-6.23,NaN,NaN
36.8,13.014,2.03,-6.3,0.00134,0.00052
36.9,13.033,1.95,-6.44,NaN,NaN
37,13.053,1.94,-6.41,0.0013,0.00046
37.1,13.072,1.84,-6.41,NaN,NaN
37.2,13.092,1.9,-6.46,0.00132,0.00043
37.3,13.111,1.78,-6.57,NaN,NaN
37.4,13.131,1.86,-6.47,0.00129,0.00042
37.5,13.15,1.91,-6.49,NaN,NaN
37.6,13.161,1.91,-6.49,0.0014,0.00047
37.7,13.172,1.88,-6.54,NaN,NaN
37.8,13.182,1.83,-6.52,0.00126,0.00049
37.9,13.193,1.79,-6.59,NaN,NaN
38,13.204,1.83,-6.51,0.0013,0.00035
38.1,13.215,1.81,-6.65,NaN,NaN
38.2,13.226,1.86,-6.59,0.00128,0.00044
38.3,13.236,1.84,-6.62,NaN,NaN
38.4,13.247,1.86,-6.55,0.00127,0.00042
38.5,13.258,1.78,-6.56,NaN,NaN
38.6,13.269,1.79,-6.71,0.00128,0.00044
38.7,13.279,1.84,-6.64,NaN,NaN
38.8,13.29,1.76,-6.66,0.00131,0.00036
38.9,13.301,1.86,-6.64,NaN,NaN
39,13.312,1.82,-6.58,0.00123,0.0004
39.1,13.323,1.82,-6.59,NaN,NaN
39.2,13.333,1.96,-6.44,0.00131,0.00042
39.3,13.344,1.88,-6.5,NaN,NaN
39.4,13.355,1.94,-6.56,0.00127,0.00042
39.5,13.366,1.9,-6.67,NaN,NaN
39.6,13.376,1.82,-6.66,0.00123,0.0005
39.7,13.387,1.78,-6.84,NaN,NaN
39.8,13.398,1.78,-6.87,0.00118,0.00038
39.9,13.409,1.64,-7.04,NaN,NaN
40,13.42,1.59,-7.25,0.00114,0.00042
40.1,13.43,1.68,-7.23,NaN,NaN
40.2,13.441,1.61,-7.19,0.00118,0.00043
40.3,13.452,1.73,-7.08,NaN,NaN
40.4,13.463,NaN,NaN,0.00118,0.00041
40.5,13.473,1.64,-7.14,NaN,NaN
40.6,13.484,1.62,-6.99,0.00111,0.0004
40.7,13.495,1.58,-6.87,NaN,NaN
40.8,13.506,1.64,-6.65,0.00122,0.00037
40.9,13.517,1.57,-6.67,NaN,NaN
41,13.527,1.61,-6.68,0.00119,0.00037
41.1,13.538,1.59,-6.72,NaN,NaN
41.2,13.549,1.62,-6.62,0.00117,0.00041
41.3,13.56,1.48,-6.58,NaN,NaN
41.4,13.57,1.62,-6.44,0.00115,0.0004
41.5,13.581,1.67,-6.35,NaN,NaN
41.6,13.592,1.65,-6.36,0.00121,0.0005
41.7,13.603,1.63,-6.48,NaN,NaN
41.8,13.614,1.67,-6.41,0.00124,0.00047
41.9,13.624,1.67,-6.38,NaN,NaN
42,13.635,1.68,-6.53,0.00118,0.00044
42.1,13.646,1.68,-6.5,NaN,NaN
42.2,13.657,1.82,-6.38,0.00124,0.0004
42.3,13.667,1.7,-6.43,NaN,NaN
42.4,13.678,1.86,-6.37,0.0012,0.00056
42.5,13.689,1.77,-6.54,NaN,NaN
42.6,13.7,1.79,-6.5,0.00116,0.00038
42.7,13.711,1.82,-6.57,NaN,NaN
42.8,13.721,1.9,-6.57,0.00114,0.00042
42.9,13.732,1.89,-6.55,NaN,NaN
43,13.743,1.92,-6.69,0.0012,0.0005
43.1,13.754,1.94,-6.68,NaN,NaN
43.2,13.764,1.99,-6.67,0.00116,0.00046
43.3,13.775,1.98,-6.73,NaN,NaN
43.4,13.786,1.87,-6.79,0.00112,0.00046
43.5,13.797,1.88,-6.76,NaN,NaN
43.6,13.808,1.76,-6.74,0.00115,0.00047
43.7,13.818,1.67,-6.9,NaN,NaN
43.8,13.829,1.68,-6.9,0.00125,0.00045
43.9,13.84,1.63,-6.83,NaN,NaN
44,13.851,1.6,-6.99,0.00132,0.00053
44.1,13.861,1.66,-6.87,NaN,NaN
