# DESCRIPTION:
# Reference: Hai Cheng, Christoph Spötl, Sebastian F.M. Breitenbach, Ashish Sinha, Jasper A. Wassenburg, Klaus Peter Jochum, Denis Scholz, Xianglei Li, Liang Yi, Youbing Peng, Yanbin Lv, Pingzhong Zhang, Antonina Votintseva, Vadim Loginov, Youfeng Ning, Gayatri Kathayat and R. Lawrence Edwards. 2016. Climate variations of Central Asia on orbital to millennial timescales. Scientific Reports, 5, 36975. doi: 10.1038/srep36975.
# Data from: https://www.ncdc.noaa.gov/paleo/study/21350. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Empty data points were removed.

Depth [mm],Age [ka BP],d13C [per mil VPDB],d18O [per mil VPDB],Sr/Ca,S/Ca [per mil VPDB]
308.8,123.528,2.1,-8.75,0.00114,0.00052
308.9,123.538,2.06,-8.73,NaN,NaN
309,123.547,1.95,-8.92,0.00117,0.00031
309.1,123.557,2.07,-8.91,NaN,NaN
309.2,123.566,1.98,-9.05,0.00119,0.00048
309.3,123.576,2.05,-8.97,NaN,NaN
309.4,123.585,2.09,-8.9,0.00106,0.00043
309.5,123.595,2.29,-8.76,NaN,NaN
309.6,123.604,2.34,-8.74,0.00104,0.00045
309.7,123.613,2.34,-8.74,NaN,NaN
309.8,123.623,2.17,-8.79,0.0011,0.00034
309.9,123.632,2.08,-8.93,NaN,NaN
310,123.642,1.94,-9.07,0.00113,0.00017
310.1,123.651,1.85,-9.04,NaN,NaN
310.2,123.661,1.89,-9.05,0.00102,0.00036
310.3,123.67,1.87,-9.07,NaN,NaN
310.4,123.68,1.86,-8.99,0.00096,0.00038
310.5,123.689,1.85,-9.08,NaN,NaN
310.6,123.699,1.93,-9.01,0.00103,0.00032
310.7,123.708,2.18,-8.84,NaN,NaN
310.8,123.717,2.19,-8.89,0.0009,0.00031
310.9,123.727,2.08,-8.96,NaN,NaN
311,123.736,2.05,-8.92,0.00102,0.00031
311.1,123.746,1.96,-9.08,NaN,NaN
311.2,123.755,2,-9.07,0.0013,0.00042
311.3,123.765,1.96,-9.12,NaN,NaN
311.4,123.774,2,-9.02,0.0014,0.00047
311.5,123.784,2.04,-9.1,NaN,NaN
311.6,123.793,2.05,-9.11,0.00147,0.00059
311.8,123.812,1.94,-9.14,0.00161,0.00067
311.9,123.821,1.89,-9.21,NaN,NaN
312,123.831,1.93,-9.25,0.00173,0.0007
312.1,123.84,1.91,-9.3,NaN,NaN
312.2,123.85,1.97,-9.18,0.00168,0.00062
312.3,123.859,1.89,-9.24,NaN,NaN
312.4,123.869,1.81,-9.3,0.00171,0.0006
312.5,123.878,1.86,-9.16,NaN,NaN
312.6,123.888,1.86,-9.31,0.00167,0.00069
312.7,123.897,1.88,-9.32,NaN,NaN
312.8,123.906,1.74,-9.35,0.00156,0.00063
312.9,123.916,1.82,-9.39,NaN,NaN
313,123.925,1.76,-9.32,0.00166,0.00048
313.1,123.935,1.9,-9.28,NaN,NaN
313.2,123.944,1.8,-9.24,0.00159,0.00053
313.3,123.954,1.78,-9.33,NaN,NaN
313.4,123.963,1.87,-9.29,0.00146,0.00051
313.5,123.973,1.99,-9.18,NaN,NaN
313.6,123.982,2.11,-9.07,0.00141,0.00052
313.7,123.992,2.19,-8.95,NaN,NaN
313.8,124.001,2.33,-8.91,0.0014,0.00053
313.9,124.01,2.47,-8.81,NaN,NaN
314,124.02,2.37,-8.78,0.00147,0.00049
314.1,124.029,2.5,-8.76,NaN,NaN
314.2,124.039,2.65,-8.62,0.00149,0.00047
314.3,124.048,2.59,-8.75,NaN,NaN
314.4,124.058,2.58,-8.75,0.00139,0.00057
314.5,124.067,2.54,-8.7,NaN,NaN
314.6,124.077,2.6,-8.87,0.00134,0.00051
314.7,124.086,2.62,-8.72,NaN,NaN
314.8,124.096,2.57,-8.81,0.00135,0.00044
314.9,124.105,2.52,-8.83,NaN,NaN
315,124.114,2.49,-8.89,0.00128,0.00046
315.1,124.124,2.58,-8.82,NaN,NaN
315.2,124.133,2.45,-8.84,0.00141,0.00052
315.3,124.143,2.41,-8.94,NaN,NaN
315.4,124.152,2.35,-8.89,0.00146,0.00053
315.5,124.162,2.47,-8.81,NaN,NaN
315.6,124.171,2.52,-8.76,0.00155,0.00056
315.7,124.181,2.41,-8.82,NaN,NaN
315.8,124.19,2.39,-9.11,0.0014,0.00062
315.9,124.2,2.51,-8.99,NaN,NaN
316,124.209,2.64,-8.89,0.00159,0.00064
316.1,124.218,2.69,-8.76,NaN,NaN
316.2,124.228,2.71,-8.57,0.00159,0.00058
316.3,124.237,2.78,-8.63,NaN,NaN
316.4,124.247,2.82,-8.62,0.00176,0.00064
316.5,124.256,2.8,-8.73,NaN,NaN
316.6,124.266,2.83,-8.61,0.00165,0.00075
316.7,124.275,2.9,-8.53,NaN,NaN
316.8,124.285,2.9,-8.56,0.00168,0.00061
316.9,124.294,2.8,-8.54,NaN,NaN
317,124.303,2.96,-8.66,0.00174,0.00063
317.1,124.313,3,-8.64,NaN,NaN
317.2,124.322,2.58,-8.88,0.00161,0.00069
317.3,124.332,2.55,-9.02,NaN,NaN
317.4,124.341,2.52,-8.96,0.00165,0.00066
317.5,124.351,2.55,-9,NaN,NaN
317.6,124.36,2.51,-8.95,0.00162,0.0007
317.7,124.37,2.61,-8.89,NaN,NaN
317.8,124.379,2.78,-8.8,0.00156,0.00069
317.9,124.389,2.7,-8.75,NaN,NaN
318,124.398,2.73,-8.76,0.00141,0.00061
318.1,124.407,2.65,-8.76,NaN,NaN
318.2,124.417,2.68,-8.7,0.00145,0.00063
318.3,124.426,2.62,-8.67,NaN,NaN
318.4,124.436,2.71,-8.61,0.00146,0.00065
318.5,124.445,2.85,-8.62,NaN,NaN
318.6,124.455,2.99,-8.56,0.00153,0.0007
318.7,124.464,2.95,-8.69,NaN,NaN
318.8,124.474,2.76,-8.66,0.00163,0.00086
318.9,124.483,2.83,-8.67,NaN,NaN
319,124.493,2.89,-8.6,0.00165,0.00078
319.1,124.502,2.86,-8.57,NaN,NaN
319.2,124.511,2.86,-8.62,0.00166,0.00065
319.3,124.521,2.72,-8.7,NaN,NaN
319.4,124.53,2.72,-8.76,0.00175,0.00071
319.5,124.54,2.8,-8.75,NaN,NaN
319.6,124.549,2.85,-8.66,0.00172,0.00077
319.7,124.559,2.87,-8.62,NaN,NaN
319.8,124.568,2.77,-8.65,0.00166,0.00071
319.9,124.578,2.64,-8.61,NaN,NaN
320,124.587,2.67,-8.68,0.00164,0.00074
320.1,124.596,2.69,-8.47,NaN,NaN
320.2,124.606,2.45,-8.61,0.00137,0.00059
320.3,124.615,2.29,-8.58,NaN,NaN
320.4,124.625,2.24,-8.65,0.00147,0.00052
320.5,124.634,2.1,-8.65,NaN,NaN
320.6,124.644,1.94,-8.79,0.0015,0.00057
320.7,124.653,2.06,-8.76,NaN,NaN
320.8,124.663,2.24,-8.63,0.00149,0.00061
320.9,124.672,2.21,-8.66,NaN,NaN
321,124.682,2.18,-8.71,0.00148,0.00067
321.1,124.691,2.06,-8.74,NaN,NaN
321.2,124.7,2.08,-8.86,0.00146,0.00061
321.3,124.71,1.9,-8.87,NaN,NaN
321.4,124.719,1.78,-8.99,0.00144,0.00061
321.5,124.729,2.14,-8.85,NaN,NaN
321.6,124.738,3.14,-8.54,0.00145,0.00064
321.7,124.748,3.92,-8.2,NaN,NaN
321.8,124.757,4.07,-8.18,0.00138,0.00067
321.9,124.767,4.07,-8.2,NaN,NaN
322,124.776,4.07,-8.24,0.00132,0.00059
322.1,124.786,3.97,-8.19,NaN,NaN
322.2,124.795,3.9,-8.33,0.00122,0.00044
322.3,124.804,3.7,-8.35,NaN,NaN
322.4,124.814,3.76,-8.28,0.00131,0.0005
322.5,124.823,3.87,-8.21,NaN,NaN
322.6,124.833,3.8,-8.18,0.00127,0.00048
322.7,124.842,3.47,-8.35,NaN,NaN
322.8,124.852,3.29,-8.33,0.0013,0.00053
322.9,124.861,3.17,-8.39,NaN,NaN
323,124.871,3.26,-8.47,0.00139,0.00065
323.1,124.88,3.26,-8.58,NaN,NaN
323.2,124.889,3.22,-8.57,0.00135,0.00043
323.3,124.899,3.29,-8.52,NaN,NaN
323.4,124.908,3.26,-8.56,0.00129,0.00052
323.5,124.918,3.24,-8.62,NaN,NaN
323.6,124.927,3.09,-8.79,0.00122,0.00043
323.7,124.937,2.89,-8.84,NaN,NaN
323.8,124.946,2.68,-8.91,0.00126,0.00052
323.9,124.956,2.6,-9.01,NaN,NaN
324,124.965,2.51,-8.99,0.00127,0.00035
324.1,124.975,2.79,-8.72,NaN,NaN
324.2,124.984,2.79,-8.69,0.00129,0.00038
324.3,124.993,2.8,-8.68,NaN,NaN
324.4,125.003,2.61,-8.82,0.00122,0.00038
324.5,125.012,2.75,-8.69,NaN,NaN
324.6,125.022,2.72,-8.76,0.00126,0.00044
324.7,125.031,2.7,-8.8,NaN,NaN
324.8,125.041,2.76,-8.81,0.00119,0.00056
324.9,125.05,2.5,-8.97,NaN,NaN
325,125.06,2.6,-8.92,0.00127,0.00044
325.1,125.069,2.44,-8.97,NaN,NaN
325.2,125.079,2.5,-8.95,0.00133,0.00047
325.3,125.088,2.42,-8.95,NaN,NaN
325.4,125.097,2.38,-9.04,0.00135,0.0004
325.5,125.107,2.4,-8.83,NaN,NaN
325.6,125.116,2.34,-8.98,0.00118,0.00042
325.7,125.126,2.26,-9.1,NaN,NaN
325.8,125.135,2.41,-9.03,0.00114,0.00041
325.9,125.145,2.5,-8.86,NaN,NaN
326,125.154,2.83,-8.72,0.00121,0.00051
326.1,125.164,2.98,-8.65,NaN,NaN
326.2,125.173,3.07,-8.55,0.00113,0.0004
326.3,125.182,2.94,-8.67,NaN,NaN
326.4,125.192,3.03,-8.5,0.00115,0.00027
326.5,125.201,3.02,-8.52,NaN,NaN
326.6,125.211,3.02,-8.51,0.00112,0.00033
326.7,125.22,3.06,-8.51,NaN,NaN
326.8,125.23,2.77,-8.7,0.0012,0.0004
326.9,125.239,2.75,-8.76,NaN,NaN
327,125.249,2.72,-8.81,0.00122,0.00036
327.1,125.258,2.69,-8.8,NaN,NaN
327.2,125.268,2.63,-8.73,0.00127,0.00052
327.3,125.277,2.47,-8.74,NaN,NaN
327.4,125.286,2.41,-8.9,0.00122,0.00056
327.5,125.296,2.38,-8.92,NaN,NaN
327.6,125.305,2.57,-8.82,0.00134,0.0006
327.7,125.315,2.6,-8.77,NaN,NaN
327.8,125.324,2.49,-8.91,0.00127,0.00044
327.9,125.334,2.55,-9.04,NaN,NaN
328,125.343,2.36,-9.08,0.00134,0.00047
328.1,125.353,2.33,-9.07,NaN,NaN
328.2,125.362,2.24,-9.1,0.00125,0.00053
328.3,125.372,2.28,-9.04,NaN,NaN
328.4,125.381,2.22,-8.94,0.00131,0.00044
328.5,125.39,2.24,-9.06,NaN,NaN
328.6,125.4,2.32,-9.09,0.00131,0.00043
328.7,125.409,2.47,-8.93,NaN,NaN
328.8,125.419,2.41,-8.78,0.0013,0.00041
328.9,125.428,2.56,-8.77,NaN,NaN
329,125.438,2.81,-8.4,0.00132,0.00045
329.1,125.447,3.03,-8.3,NaN,NaN
329.2,125.457,2.9,-8.29,0.00133,0.00045
329.3,125.466,2.88,-8.49,NaN,NaN
329.4,125.476,2.76,-8.61,0.00112,0.00049
329.5,125.485,2.66,-8.65,NaN,NaN
329.6,125.494,2.73,-8.67,0.00121,0.00038
329.7,125.504,2.69,-8.64,NaN,NaN
329.8,125.513,2.71,-8.62,0.00119,0.00039
329.9,125.523,2.77,-8.53,NaN,NaN
330,125.532,2.61,-8.69,0.00114,0.00033
330.1,125.542,2.66,-8.64,NaN,NaN
330.2,125.551,2.6,-8.75,0.00114,0.00032
330.3,125.561,2.55,-8.75,NaN,NaN
330.4,125.57,2.48,-8.76,0.00125,0.00043
330.5,125.579,2.39,-8.75,NaN,NaN
330.6,125.589,2.5,-8.84,0.00131,0.00042
330.7,125.598,2.58,-8.69,NaN,NaN
330.8,125.608,2.72,-8.78,0.00134,0.00051
330.9,125.617,2.59,-8.81,NaN,NaN
331,125.627,2.44,-8.84,0.00131,0.00055
331.1,125.636,2.34,-8.9,NaN,NaN
331.2,125.646,2.19,-8.89,0.00136,0.00054
331.3,125.655,2.19,-8.69,NaN,NaN
331.4,125.665,2.16,-8.73,0.00137,0.00043
331.5,125.674,2.03,-8.8,NaN,NaN
331.6,125.683,2.03,-8.82,0.00132,0.00047
331.7,125.693,2.03,-8.78,NaN,NaN
331.8,125.702,2.22,-8.68,0.00133,0.00045
331.9,125.712,2.59,-8.61,NaN,NaN
332,125.721,2.75,-8.43,0.00142,0.00052
332.1,125.731,2.7,-8.45,NaN,NaN
332.2,125.74,2.75,-8.4,0.00138,0.00064
332.3,125.75,2.61,-8.43,NaN,NaN
332.4,125.759,2.51,-8.5,0.00158,0.00061
332.5,125.769,2.31,-8.63,NaN,NaN
332.6,125.778,2.36,-8.62,0.00136,0.00052
332.7,125.787,2.3,-8.58,NaN,NaN
332.8,125.797,2.19,-8.62,0.00135,0.00062
332.9,125.806,2.25,-8.6,NaN,NaN
333,125.816,2.37,-8.61,0.00143,0.00062
333.1,125.825,2.38,-8.51,NaN,NaN
333.2,125.835,2.48,-8.37,0.00128,0.00068
333.3,125.844,2.42,-8.49,NaN,NaN
333.4,125.854,2.48,-8.51,0.00136,0.00059
333.5,125.863,2.51,-8.44,NaN,NaN
333.6,125.872,2.49,-8.45,0.00122,0.00041
333.7,125.882,2.51,-8.41,NaN,NaN
333.8,125.891,2.46,-8.42,0.00123,0.00057
333.9,125.901,2.47,-8.52,NaN,NaN
334,125.91,2.49,-8.35,0.00116,0.0005
334.1,125.92,2.57,-8.21,NaN,NaN
334.2,125.929,2.57,-8.34,0.00126,0.00047
334.3,125.939,2.66,-8.33,NaN,NaN
334.4,125.948,2.65,-8.29,0.00123,0.0005
334.5,125.958,2.62,-8.35,NaN,NaN
334.6,125.967,2.78,-8.33,0.00125,0.00058
334.7,125.976,2.61,-8.25,NaN,NaN
334.8,125.986,2.57,-8.61,0.00137,0.00053
334.9,125.995,2.55,-8.64,NaN,NaN
335,126.005,2.44,-8.66,0.00144,0.00053
335.1,126.014,2.46,-8.71,NaN,NaN
335.2,126.024,2.3,-8.87,0.00133,0.0006
335.3,126.033,2.4,-8.81,NaN,NaN
335.4,126.043,2.31,-8.94,0.00138,0.00055
335.5,126.052,2.13,-9.12,NaN,NaN
335.6,126.062,2.05,-9.16,0.00132,0.00053
335.7,126.071,2.11,-9.27,NaN,NaN
335.8,126.08,2.06,-9.28,0.00134,0.00056
335.9,126.09,2.3,-9.33,NaN,NaN
336,126.099,2.17,-9.2,0.00128,0.0005
336.1,126.109,2.23,-9.18,NaN,NaN
336.2,126.118,2.17,-9.18,0.0012,0.00048
336.3,126.128,2.24,-9.17,NaN,NaN
336.4,126.137,2.17,-9.09,0.00129,0.00048
336.5,126.147,2.11,-9.05,NaN,NaN
336.6,126.156,2.17,-9.05,0.00125,0.0006
336.7,126.165,2.27,-8.89,NaN,NaN
336.8,126.175,2.4,-8.92,0.00122,0.0006
336.9,126.184,2.44,-8.93,NaN,NaN
337,126.194,2.39,-8.92,0.0012,0.00035
337.1,126.203,2.07,-8.94,NaN,NaN
337.2,126.213,2.28,-8.93,0.0011,0.00052
337.3,126.222,2.19,-9.08,NaN,NaN
337.4,126.232,2.13,-9.1,0.00118,0.00043
337.5,126.241,2.25,-9.01,NaN,NaN
337.6,126.251,2.15,-9.13,0.00118,0.00041
337.7,126.26,2.11,-9.12,NaN,NaN
337.8,126.269,2.17,-9.22,0.00114,0.00033
337.9,126.279,2.16,-9.15,NaN,NaN
338,126.288,2.07,-9.11,0.00117,0.00038
338.1,126.298,2.06,-9.08,NaN,NaN
338.2,126.307,2,-9.03,0.00116,0.00036
338.3,126.317,1.97,-9.16,NaN,NaN
338.4,126.326,1.98,-9.17,0.00123,0.00036
338.5,126.336,1.98,-9.21,NaN,NaN
338.6,126.345,1.94,-9.14,0.00117,0.00039
338.7,126.355,2.02,-9.08,NaN,NaN
338.8,126.364,1.99,-9.02,0.00119,0.00042
338.9,126.373,1.93,-9.16,NaN,NaN
339,126.383,1.79,-9.14,0.00122,0.00049
339.1,126.392,1.75,-9.25,NaN,NaN
339.2,126.402,1.72,-9.29,0.00126,0.00034
339.3,126.411,1.91,-9.13,NaN,NaN
339.4,126.421,1.87,-9.16,0.00117,0.00045
339.5,126.43,1.93,-9.25,NaN,NaN
339.6,126.44,1.92,-9.25,0.00107,0.00044
339.7,126.449,2.01,-9.17,NaN,NaN
339.8,126.459,2.08,-9.25,0.00102,0.00042
339.9,126.468,1.97,-9.27,NaN,NaN
340,126.477,2.14,-9.13,0.00105,0.0005
340.1,126.487,2.13,-9.17,NaN,NaN
340.2,126.496,2,-9.14,0.0011,0.00043
340.3,126.506,1.93,-9.13,NaN,NaN
340.4,126.515,1.98,-9.21,0.00115,0.00043
340.5,126.525,1.84,-9.22,NaN,NaN
340.6,126.534,1.99,-9.26,0.00105,0.00033
340.7,126.544,2.11,-9.11,NaN,NaN
340.8,126.553,2.03,-9.13,0.00109,0.00042
340.9,126.562,1.9,-9.28,NaN,NaN
341,126.572,1.95,-9.2,0.00104,0.00039
341.1,126.581,1.94,-9.16,NaN,NaN
341.2,126.591,1.89,-9.17,0.00099,0.00043
341.3,126.6,2.07,-9.05,NaN,NaN
341.4,126.61,2,-9.11,0.001,0.0005
341.5,126.619,2.11,-9.13,NaN,NaN
341.6,126.629,2.22,-9.06,0.00103,0.00043
341.7,126.638,2.33,-9,NaN,NaN
341.8,126.648,2.52,-8.9,0.00115,0.00037
341.9,126.657,2.43,-8.89,NaN,NaN
342,126.666,2.33,-9,0.00113,0.00045
342.1,126.676,2.12,-9.17,NaN,NaN
342.2,126.685,2.13,-9.12,0.00109,0.00045
342.3,126.695,2.01,-9.14,NaN,NaN
342.4,126.704,1.97,-9.33,0.00122,0.00038
342.5,126.714,2.09,-9.28,NaN,NaN
342.6,126.723,2.02,-9.34,0.00116,0.00043
342.7,126.733,2.03,-9.19,NaN,NaN
342.8,126.742,1.94,-9.13,0.00119,0.00043
342.9,126.752,1.97,-9.15,NaN,NaN
343,126.761,2,-9.07,0.00117,0.00043
343.1,126.77,2,-9.17,NaN,NaN
343.2,126.78,1.97,-9.27,0.00126,0.00052
343.3,126.789,1.98,-9.21,NaN,NaN
343.4,126.799,1.97,-9.16,0.00127,0.00049
343.5,126.808,2.09,-8.98,NaN,NaN
343.6,126.818,1.98,-9.02,0.00118,0.00046
343.7,126.827,2.21,-8.92,NaN,NaN
343.8,126.837,2.31,-8.96,0.00111,0.00043
343.9,126.846,2.33,-9,NaN,NaN
344,126.855,2.41,-8.92,0.0011,0.00034
344.1,126.865,2.46,-8.84,NaN,NaN
344.2,126.874,2.6,-8.69,0.00115,0.00032
344.3,126.884,2.55,-8.7,NaN,NaN
344.4,126.893,2.51,-8.82,0.00116,0.00035
344.5,126.903,2.39,-8.63,NaN,NaN
344.6,126.912,2.34,-8.71,0.00114,0.00039
344.7,126.922,2.24,-8.73,NaN,NaN
344.8,126.931,2.2,-8.88,0.00117,0.0004
344.9,126.941,2,-9.09,NaN,NaN
345,126.95,1.69,-9.43,0.00108,0.00041
345.1,126.959,1.55,-9.71,NaN,NaN
345.2,126.969,1.45,-9.79,0.00116,0.00034
345.3,126.978,1.39,-9.86,NaN,NaN
345.4,126.988,1.4,-9.74,0.00117,0.00038
345.5,126.997,1.48,-9.63,NaN,NaN
345.6,127.007,1.43,-9.51,0.00115,0.00043
345.7,127.016,1.44,-9.39,NaN,NaN
345.8,127.026,1.37,-9.31,0.00109,0.00043
345.9,127.035,1.46,-9.47,NaN,NaN
346,127.045,1.74,-9.23,0.00115,0.00049
346.1,127.054,1.61,-9.43,NaN,NaN
346.2,127.063,1.54,-9.59,0.00107,0.00043
346.3,127.073,1.59,-9.71,NaN,NaN
346.4,127.082,1.43,-9.63,0.00113,0.00034
346.5,127.092,1.53,-9.61,NaN,NaN
346.6,127.101,1.85,-9.32,0.00111,0.00044
346.7,127.111,1.93,-9.18,NaN,NaN
346.8,127.12,1.8,-9.35,0.00108,0.00041
346.9,127.13,1.86,-9.29,NaN,NaN
347,127.139,1.84,-9.14,0.00095,0.00038
347.1,127.148,1.9,-9.14,NaN,NaN
347.2,127.158,1.75,-9.41,0.00106,0.00047
347.3,127.167,1.86,-9.35,NaN,NaN
347.4,127.177,1.83,-9.23,0.00106,0.0004
347.5,127.186,1.82,-9.23,NaN,NaN
347.6,127.196,1.83,-9.28,0.00104,0.00061
347.7,127.205,1.79,-9.26,NaN,NaN
347.8,127.215,1.82,-9.17,0.00095,0.00048
347.9,127.224,1.72,-9.28,NaN,NaN
348,127.234,1.76,-9.23,0.00101,0.00045
348.1,127.243,1.72,-9.29,NaN,NaN
348.2,127.252,1.74,-9.37,0.00096,0.00052
348.3,127.262,1.85,-9.33,NaN,NaN
348.4,127.271,1.41,-9.6,0.00104,0.00045
348.5,127.281,1.95,-9.2,NaN,NaN
348.6,127.29,2.17,-9.29,0.00085,0.0005
348.7,127.3,2.28,-9.17,NaN,NaN
348.8,127.309,2.32,-8.95,0.0011,0.00048
348.9,127.319,2.4,-9.02,NaN,NaN
349,127.328,2.59,-8.94,0.00111,0.00061
349.1,127.338,2.4,-8.98,NaN,NaN
349.2,127.347,2.46,-9.07,0.00111,0.00052
349.3,127.356,2.37,-9.13,NaN,NaN
349.4,127.366,2.44,-8.95,0.00104,0.00065
349.5,127.375,2.35,-9.18,NaN,NaN
349.6,127.385,2.33,-9.27,0.00117,0.00057
349.7,127.394,2.24,-9.24,NaN,NaN
349.8,127.404,2.15,-9.31,0.00115,0.00064
349.9,127.413,2.03,-9.43,NaN,NaN
350,127.423,1.91,-9.28,0.00099,0.00056
350.1,127.432,2.22,-9.12,NaN,NaN
350.2,127.442,2.17,-9.14,0.00102,0.00058
350.3,127.451,2.3,-9.07,NaN,NaN
350.4,127.46,2.29,-9.11,0.00094,0.00041
350.5,127.47,2.21,-9.29,NaN,NaN
350.6,127.479,2.15,-9.13,0.001,0.00049
350.7,127.489,2.11,-8.91,NaN,NaN
350.8,127.498,1.95,-8.87,0.00101,0.00036
350.9,127.508,1.98,-9.04,NaN,NaN
351,127.517,2.09,-9.02,0.00097,0.00039
351.1,127.527,1.84,-9.21,NaN,NaN
351.2,127.536,1.81,-9.43,0.00103,0.00041
351.3,127.545,1.93,-9.4,NaN,NaN
351.4,127.555,1.92,-9.34,0.00102,0.00037
351.5,127.564,1.94,-9.39,NaN,NaN
351.6,127.574,1.92,-9.2,0.00095,0.00047
351.7,127.583,1.83,-9.45,NaN,NaN
351.8,127.593,1.7,-9.49,0.00098,0.00046
351.9,127.602,1.69,-9.39,NaN,NaN
352,127.612,1.75,-9.5,0.00104,0.00041
352.1,127.621,1.99,-9.39,NaN,NaN
352.2,127.631,1.96,-9.38,0.00095,0.00042
352.3,127.64,2.05,-9.41,NaN,NaN
352.4,127.649,1.89,-9.38,0.00091,0.00053
352.5,127.659,1.84,-9.34,NaN,NaN
352.6,127.668,1.8,-9.1,0.00086,0.00041
352.7,127.678,1.77,-9.08,NaN,NaN
352.8,127.687,1.77,-8.98,0.00086,0.00041
352.9,127.697,1.97,-9.02,NaN,NaN
353,127.706,2.03,-8.96,0.00097,0.00045
353.1,127.716,2.33,-8.78,NaN,NaN
353.2,127.725,1.97,-8.93,0.00094,0.0004
353.3,127.735,2.07,-9.03,NaN,NaN
353.4,127.744,1.9,-9.1,0.00093,0.00057
353.5,127.753,1.64,-9.11,NaN,NaN
353.6,127.763,1.74,-9.17,0.00081,0.00068
353.7,127.772,1.71,-9.18,NaN,NaN
353.8,127.782,1.81,-9.28,0.00093,0.00041
353.9,127.791,1.68,-9.38,NaN,NaN
354,127.801,1.79,-9.29,0.00085,0.00048
354.1,127.81,1.67,-9.17,NaN,NaN
354.2,127.82,1.53,-9.29,0.00086,0.00047
354.3,127.829,1.77,-9.16,NaN,NaN
354.4,127.838,1.89,-9.07,0.00099,0.00048
354.5,127.848,1.86,-9.25,NaN,NaN
354.6,127.857,1.99,-9.06,0.00109,0.00041
354.7,127.867,2.05,-8.98,NaN,NaN
354.8,127.876,1.81,-9.18,0.00097,0.00036
354.9,127.886,1.84,-9.13,NaN,NaN
355,127.895,1.83,-9.17,0.00102,0.00035
355.1,127.905,1.85,-9.19,NaN,NaN
355.2,127.914,1.69,-9.23,0.001,0.00036
355.3,127.924,1.66,-9.3,NaN,NaN
355.4,127.933,1.72,-9.25,0.00098,0.00035
355.5,127.942,1.75,-9.13,NaN,NaN
355.6,127.952,1.75,-9.23,0.00104,0.00038
355.7,127.961,1.63,-9.21,NaN,NaN
355.8,127.971,1.59,-9,0.00102,0.00039
355.9,127.98,1.65,-9.07,NaN,NaN
356,127.99,1.66,-9.07,0.00097,0.00045
356.1,127.999,1.74,-8.87,NaN,NaN
356.2,128.009,1.68,-8.89,0.00099,0.00033
356.3,128.018,1.62,-8.95,NaN,NaN
356.4,128.028,1.62,-9.02,0.00099,0.00039
356.5,128.037,1.31,-9.16,NaN,NaN
356.6,128.046,1.25,-9.28,0.0009,0.00028
356.7,128.056,1.49,-9.24,NaN,NaN
356.8,128.065,1.66,-9.19,0.00099,0.00029
356.9,128.075,1.78,-9.17,NaN,NaN
357,128.084,1.92,-9.11,0.001,0.00037
357.1,128.094,1.98,-9.14,NaN,NaN
357.2,128.103,2.09,-9.24,0.00088,0.00041
357.3,128.113,2.02,-9.18,NaN,NaN
357.4,128.122,2.18,-9.1,0.00087,0.00026
357.5,128.131,2.05,-9.16,NaN,NaN
357.6,128.141,1.14,-9.06,0.00093,0.00031
357.7,128.15,1.9,-9.43,NaN,NaN
357.8,128.16,1.93,-9.51,0.00099,0.00029
357.9,128.169,2.07,-9.4,NaN,NaN
358,128.179,2.17,-9.26,0.0009,0.00031
358.1,128.188,2.04,-9.33,NaN,NaN
358.2,128.198,2.13,-9.17,0.00091,0.00031
358.3,128.207,2.1,-9.15,NaN,NaN
358.4,128.217,2.09,-9.14,0.00094,0.00032
358.5,128.226,1.84,-9.25,NaN,NaN
358.6,128.235,NaN,NaN,0.00087,0.00034
358.7,128.245,1.93,-9.36,NaN,NaN
358.8,128.254,1.81,-9.36,0.00092,0.00048
358.9,128.264,1.87,-9.35,NaN,NaN
359,128.273,1.98,-9.2,0.00085,0.00038
359.1,128.283,2.07,-9.08,NaN,NaN
359.2,128.292,2.04,-9.15,0.00095,0.0005
359.3,128.302,2.03,-9.31,NaN,NaN
359.4,128.311,1.9,-9.35,0.00084,0.00053
359.5,128.321,2.13,-9.3,NaN,NaN
359.6,128.33,1.95,-9.3,0.00091,0.00052
359.7,128.339,1.97,-9.41,NaN,NaN
359.8,128.349,1.89,-9.51,0.00085,0.00062
359.9,128.358,1.95,-9.4,NaN,NaN
360,128.368,1.77,-9.48,0.00088,0.00055
360.1,128.377,1.88,-9.34,NaN,NaN
360.2,128.387,1.86,-9.32,0.00076,0.00038
360.3,128.396,1.8,-9.17,NaN,NaN
360.4,128.406,1.84,-9.09,0.00085,0.00042
360.5,128.415,1.57,-9.18,NaN,NaN
360.6,128.425,1.59,-9.18,0.00079,0.00036
360.7,128.434,1.69,-9.24,NaN,NaN
360.8,128.443,1.59,-9.3,0.00073,0.00029
360.9,128.453,1.62,-9.35,NaN,NaN
361,128.462,1.48,-9.28,0.00071,0.00032
361.1,128.472,1.56,-9.29,NaN,NaN
361.2,128.481,1.46,-9.39,0.00079,0.00033
361.3,128.491,1.52,-9.33,NaN,NaN
361.4,128.5,1.46,-9.25,0.00084,0.00027
361.5,128.51,1.44,-9.23,NaN,NaN
361.6,128.519,1.57,-8.95,0.00081,0.00039
361.7,128.528,1.61,-8.89,NaN,NaN
