# DESCRIPTION:
# Reference: Gina E. Moseley, R. Lawrence Edwards, Kathleen A. Wendt, Hai Cheng, Yuri Dublyansky, Yanbin Lu, Ronny Boch, Christoph Spötl. 2016. Reconciliation of the Devils Hole climate record with orbital forcing. Science, 351(6269), 165-168. doi: 10.1126/science.aad4132
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/19745. Accessed 22 Nov 2022.
# Comment: Years were converted to ka.
# Comment: Only Devils Hole #2 Core D Stable Isotope Data is included here.

Depth [mm],Age [ka BP],δ13C carb [‰ VPDB],δ18O carb [‰ VPDB]
58.7,123.751,-3.09,-14.84
58.6,124.045,-3.1,-14.84
58.5,124.339,-3.05,-14.84
58.4,124.633,-3.08,-14.62
58.3,124.927,-3.14,-14.81
58.2,125.221,-3.16,-14.81
58.1,125.515,-3.15,-14.75
58,125.809,-3.17,-14.67
57.9,126.103,-3.22,-14.87
57.8,126.397,-3.16,-14.78
57.7,126.691,-3.07,-14.78
57.6,126.985,-3.07,-14.84
57.5,127.279,-3.08,-14.94
57.4,127.573,-3.07,-14.99
57.3,127.867,-3.02,-15.04
57.2,128.161,-3.09,-15.12
57.1,128.455,-2.88,-15.25
57,128.749,-2.88,-15.36
56.9,128.949,-2.7,-15.42
56.8,129.15,-2.84,-15.31
56.7,129.351,-2.82,-15.48
56.6,129.552,-2.83,-15.44
56.5,129.753,-2.8,-15.44
