# DESCRIPTION:
# Reference: Voelker, AHL; de Abreu, L (2011): A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal and Vertical Gradients. In: Rashid, H; Polyak, L; Mosley-Thompson, E (eds.), Abrupt Climate Change: Mechanisms, Patterns, and Impacts. Geophysical Monograph Series (AGU, Washington D.C.), 193, 15-37, https://doi.org/10.1029/2010GM001021
# Data from: https://doi.org/10.1594/PANGAEA.737413. Accessed 11 Nov 2022.
# Comment: Data was not modified in any way.

Depth [m],Age [ka BP],G. bulloides δ18O [‰ PDB],G. bulloides δ13C [‰ PDB]
15.71,135.35,3.05,-0.99
15.74,135.833,2.82,-0.76
15.77,136.315,2.86,-0.97
15.8,136.798,2.54,-0.79
15.83,137.217,2.62,-1.36
15.86,137.636,2.62,-0.82
15.89,138.055,2.6,-0.96
15.92,138.474,2.6,-0.97
15.95,138.893,2.59,-0.82
15.98,139.312,2.67,-0.98
16.01,139.731,2.61,-1.03
16.04,140.15,2.7,-0.76
16.07,140.569,3.21,-1.03
16.1,140.988,3.19,-0.84
16.13,141.253,2.73,-1.22
16.16,141.518,2.24,-1.08
16.19,141.783,2.42,-1.1
16.22,142.048,2.38,-1.08
16.25,142.313,2.39,-1
16.28,142.579,2.48,-0.83
16.31,142.844,2.33,-0.95
16.34,143.109,2.36,-0.99
16.37,143.374,2.61,-0.96
16.4,143.639,2.82,-0.81
16.43,143.904,2.5,-1.14
16.46,144.176,2.79,-0.82
16.49,144.447,2.67,-0.81
16.52,144.719,3.15,-0.83
16.55,144.991,3.28,-0.69
16.58,145.262,3.01,-1.03
16.61,145.534,2.92,-1.09
16.64,145.806,3.46,-0.81
16.67,146.078,3.13,-0.95
16.7,146.349,2.91,-0.77
16.73,146.621,2.88,-0.88
16.76,146.893,2.86,-0.75
16.79,147.164,3.11,-0.73
16.82,147.436,2.94,-0.93
16.85,147.708,3.26,-0.66
16.88,147.979,3.14,-0.83
16.91,148.251,2.9,-0.65
16.94,148.523,2.87,-0.72
16.97,148.794,2.37,-1.02
17,149.066,2.64,-0.88
17.03,149.338,2.39,-1.07
17.06,149.609,3.14,-0.52
17.09,149.881,2.53,-0.95
17.12,150.153,3.03,-0.57
17.15,150.425,2.96,-0.87
17.18,150.696,2.6,-0.92
17.21,150.968,2.84,-0.98
17.24,151.24,2.52,-1.12
17.27,151.511,1.94,-1.32
17.3,151.783,1.91,-1.29
17.33,152.318,2.47,-1.08
17.36,152.853,3.71,-1.24
17.36,152.853,2.48,-1.16
17.39,153.388,2.97,-0.88
17.42,153.923,2.94,-0.96
17.45,154.458,3.14,-1.07
17.48,154.993,2.39,-0.84
17.51,155.529,2.57,-1.3
17.54,156.064,2.31,-1.47
17.57,156.599,2.56,-1.5
17.6,157.134,3.01,-1.21
17.63,157.669,2.11,-1.62
17.66,158.204,2.9,-1.25
17.69,158.739,2.11,-0.87
17.72,158.9,3.59,-0.84
17.72,158.9,2.71,-0.91
17.75,159.061,3.19,-0.93
17.78,159.221,3.26,-1.31
17.81,159.382,3,-1.15
17.84,159.543,3.02,-0.99
17.87,159.704,3.16,-0.91
17.9,159.864,3.16,-1.14
17.93,160.025,2.75,-0.33
17.96,160.186,3.18,-1.18
17.98,160.293,3.05,-1.06
18.02,160.508,2.86,-1.09
18.05,160.668,3.12,-1.08
18.08,160.829,2.99,-0.87
18.11,160.99,3.12,-1.14
18.14,161.151,3.02,-1.3
18.17,161.311,3.47,-0.97
18.2,161.472,2.74,-0.95
18.23,161.633,3.45,-1.08
18.26,161.854,2.91,-1.16
18.29,162.076,2.78,-0.51
18.32,162.297,2.6,-0.75
18.35,162.518,2.96,-0.86
18.38,162.74,2.8,-0.78
18.41,162.961,2.52,-1.07
18.44,163.182,2.51,-1.14
18.47,163.404,2.62,-1.31
18.5,163.625,2.39,-1.14
18.53,163.846,2.6,-1.31
18.56,164.068,2.74,-1.11
18.59,164.289,2.44,-1.07
18.62,164.51,2.73,-1.17
18.65,164.732,2.7,-1.1
18.68,164.953,2.37,-1.09
18.71,165.174,2.69,-1.44
18.74,165.396,2.73,-1.24
18.77,165.617,2.34,-1.18
18.8,165.838,2.62,-1.29
18.83,166.06,2.42,-0.77
18.86,166.281,2.44,-1.28
18.89,166.502,3.09,-0.92
18.92,166.724,1.98,-0.97
18.95,166.945,2.31,-0.91
18.98,167.166,1.89,-1.11
18.98,167.166,2.07,-0.95
19.01,167.388,2.35,-1.38
19.04,167.609,2.31,-1.01
19.07,167.83,2.41,-1.1
19.13,168.273,2.94,-1.05
19.16,168.652,2.41,-0.94
19.19,169.031,2.85,-1.09
19.22,169.41,3.01,-1.2
19.25,169.788,2.29,-0.9
19.28,170.167,3,-1.09
19.31,170.546,2.65,-0.89
19.34,170.925,3.61,-0.87
19.34,170.925,2.58,-0.69
19.37,171.304,3.33,-0.82
19.4,171.683,2.73,-0.58
19.43,172.062,2.65,-0.56
19.46,172.441,3.55,-0.38
19.46,172.441,2.91,-0.54
19.48,172.542,3.06,-0.41
19.52,172.746,2.82,-0.41
19.55,172.899,2.81,-0.49
19.58,173.052,2.82,-0.51
19.61,173.205,2.67,-0.5
19.64,173.358,2.38,-0.55
19.67,173.511,2.31,-0.68
19.7,173.664,2.92,-0.65
19.73,173.817,2.26,-0.35
19.76,173.97,2.33,-0.54
19.79,174.122,2.46,-0.73
19.82,174.275,2.08,-0.8
19.85,174.428,2.08,-0.8
19.88,174.581,1.52,-0.83
19.91,174.734,1.83,-0.64
19.94,174.887,2.09,-0.57
19.97,175.04,2.04,-0.82
20,175.193,1.86,-0.88
20.03,175.346,2.13,-0.71
20.06,175.499,2.44,-0.77
20.06,175.499,2.3,-0.91
20.09,175.651,2.2,-0.8
20.12,175.804,2.31,-1.11
20.15,175.957,1.77,-1.14
20.18,176.11,2.09,-1.5
20.21,176.263,1.67,-1.11
20.24,176.732,2.01,-1.05
20.27,177.2,2.45,-1.05
20.3,177.669,3.27,-1.01
20.33,178.138,2.54,-0.99
20.36,178.607,2.28,-1.04
20.39,179.075,1.92,-1.3
20.42,179.544,2.52,-1.02
20.45,180.013,2.2,-1.43
20.48,180.481,1.89,-1.41
20.51,180.95,2.15,-1.25
20.54,181.419,2.65,-0.54
20.57,181.888,2.81,-0.75
20.6,182.356,2.63,-0.93
20.63,182.825,1.56,-1.23
