/* DESCRIPTION:
Reference:	Dokken, T; Jansen, E (1999): Rapid changes in the mechanism of ocean convection during the last glacial period. Nature, 401(6752), 458-461, https://doi.org/10.1038/46753
Data from:	https://doi.org/10.1594/PANGAEA.61471. Accessed 27 Oct 2022.
Comment:	Data was not modified in any way.
*/
Depth [m]	Age [ka BP]	MAGS [10**-6 SI]	N. pachyderma s δ18O [‰ PDB]	N. pachyderma s δ13C [‰ PDB]	C. teretis δ18O [‰ PDB]	C. teretis δ13C [‰ PDB]	Foram/sed [#/g]	Rock fragm [#/g]	IRD [#/g]
4.285	22.72	469.89	4.59	0.01	5.26	-0.47		10.95	
4.295	22.74	467.62							
4.305	22.77	456.27	4.59	0	5.27	-0.51	332	7.48	931.91
4.315	22.79	460.81							
4.325	22.81	501.67						10.71	
4.335	22.83	547.07							
4.345	22.85	567.5	4.56	0.2	5.55	-0.34		11.51	
4.355	22.88	560.69							
4.365	22.9	544.8					56	7.48	1448.12
4.375	22.92	517.56							
4.385	22.94	488.05	4.53	0.3	5.52	-0.42		5.3	
4.395	22.97	458.54							
4.405	22.99	435.84	4.38	0.22	5.29	-0.49	182	2.83	1586.3
4.415	23.01	410.87							
4.425	23.03	390.44	4.65	0.22				3.05	
4.435	23.06	376.82					64	3.09	1362.32
4.445	23.08	372.28						2.55	
4.455	23.1	372.28							
4.465	23.12	370.01	4.77	0.21	5.52	-0.54		2.7	
4.475	23.15	358.66					147	2.36	1456
