# DESCRIPTION:
# Reference: Gkinis, Vasileios; Vinther, Bo Møllesøe; Popp, Trevor J; et al. (2021): A 120,000-year long climate record from a NW-Greenland deep ice core at ultra-high resolution. Scientific Data, 8, 141, https://doi.org/10.1038/s41597-021-00916-9.
# Data from: https://doi.org/10.1594/PANGAEA.925552. Accessed 07 Jan 2023.
# Comment: Several variables from the original dataset are not included here.
# Comment: Ages for 60.20567 ka b2k and earlier have been added using the age model from Rasmussen et al., 2013: https://doi.org/10.5194/cp-9-2713-2013, data accessed from https://www.iceandclimate.nbi.ku.dk/data/.

Depth ice/snow [m],Age [ka b2k] (GICC05),δ18O H2O [‰ SMOW],δD H2O [‰ SMOW]
1235.35,8.30608,-32.778,-251.28
1235.4,8.30678,-32.228,-246.54
1235.45,8.30748,-32.275,-248.23
1235.5,8.30811,-33.75,-262.38
1235.55,8.30853,-33.698,-261.6
1235.6,8.30895,-32.877,-252.44
1235.65,8.3094,-33.89,-261.36
1235.7,8.30985,-34.954,-268.38
1235.75,8.31039,-35.537,-274.04
1235.8,8.31096,-33.629,-258.43
1235.85,8.31139,-31.945,-245.6
1235.9,8.31182,-32.384,-250.6
1235.95,8.31227,-31.605,-242.97
1236,8.31276,-31.634,-243.38
1236.05,8.31332,-32.487,-247.71
1236.1,8.31395,-35.261,-272.88
1236.15,8.31442,-35.416,-273.47
1236.2,8.31487,-34.079,-263.81
1236.25,8.31541,-33.073,-255.22
1236.3,8.31597,-32.176,-247.85
1236.35,8.31638,-31.482,-242.04
1236.4,8.31679,-31.372,-241.12
1236.45,8.31727,-32.422,-249.01
1236.5,8.31782,-34.863,-270.01
1236.55,8.3183,-35.182,-271.98
1236.6,8.31873,-34.097,-262.25
1236.65,8.31924,-33.555,-258.51
1236.7,8.31985,-32.94,-254.66
1236.75,8.32094,-30.671,-235.41
1236.8,8.32154,-30.125,-230.22
1236.85,8.32208,-31.663,-242.93
1236.9,8.3225,-33.042,-254.04
1236.95,8.32292,-33.906,-261.62
1237,8.32347,-34.953,-270.26
1237.05,8.32406,-34.672,-269.25
1237.1,8.32496,-33.731,-259.62
1237.15,8.32546,-33.508,-258.92
1237.2,8.32595,-33.125,-256.15
1237.25,8.32656,-33.056,-255.64
1237.3,8.32717,-33.334,-258.45
1237.35,8.32774,-33.582,-259.05
1237.4,8.32829,-33.633,-259.44
1237.45,8.32881,-33.199,-256.02
1237.5,8.32967,-33.317,-258.62
1237.55,8.33039,-33.027,-253.87
1237.6,8.33096,-33.315,-257.28
1237.65,8.33159,-32.52,-249.66
1237.7,8.33231,-31.906,-245.85
1237.75,8.33329,-33.286,-257.19
1237.8,8.33425,-34.943,-270.91
1237.85,8.33482,-34.339,-265.57
1237.9,8.33539,-32.863,-252.88
1237.95,8.33596,-32.747,-252.36
1238,8.33684,-33.285,-257.85
1238.05,8.33734,-33.072,-255.93
1238.1,8.33776,-32.203,-249.39
1238.15,8.33817,-31.89,-245.95
1238.2,8.33856,-32.753,-253.27
1238.25,8.33896,-33.127,-254.69
1238.3,8.33956,-34.334,-263.9
1238.35,8.34027,-34.84,-267.1
1238.4,8.34109,-34.324,-265.16
1238.45,8.34157,-33.04,-256.11
1238.5,8.34208,-31.045,-238.43
1238.55,8.34278,-30.904,-236.18
1238.6,8.34362,-32.699,-251.33
1238.65,8.34445,-33.872,-260.38
1238.7,8.34524,-33.5,-256.06
1238.75,8.34603,-33.247,-256.63
1238.8,8.34704,-33.604,-260.09
1238.85,8.34752,-33.594,-258.8
1238.9,8.34801,-32.731,-251.15
1238.95,8.34879,-32.198,-244.95
1239,8.34966,-34.292,-264.11
1239.05,8.35049,-34.723,-267.33
1239.1,8.35132,-33.845,-260.8
1239.15,8.35214,-33.921,-262.4
1239.2,8.35271,-34.01,-263.42
1239.25,8.35338,-34.456,-267.71
1239.3,8.35417,-33.518,-259.94
1239.35,8.35496,-32.283,-249.73
1239.4,8.35566,-31.653,-243.42
1239.45,8.35627,-31.932,-245.32
1239.5,8.35679,-33.223,-255.98
