# DESCRIPTION:
# Reference: WAIS Divide Project Members (2015): Precise interpolar phasing of abrupt climate change during the last ice age. Nature, 520, 661–665, hhttps://doi.org/10.1038/nature14401.
# Data from: https://www.nature.com/articles/nature14401#Sec14. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Several variables from the original dataset are not included here.
# Comment: This file combines "WDC CH4 OSU" (11.306 to 26.363 ka BP) and "WDC CH4 PSU" (26.484 to 67.145 ka BP) datasets from the original data. 

Depth (average) [m],WD2014 Gas age [ka BP],CH4 (replicate ave.) [ppb]
3013.57,38.0516,545.6
3014.07,38.0737,554.22
3014.57,38.0955,552.95
3015.07,38.1168,551.84
3015.57,38.1381,544.42
3016.07,38.159,552.37
3016.57,38.1798,561.28
3017.07,38.2005,572.17
3017.57,38.2211,580.34
3018.75,38.2697,579.08
3019.06,38.2827,574.47
3019.56,38.3036,569.53
3020.06,38.3245,556.49
3020.56,38.3457,540.86
3021.06,38.3674,538.81
3021.56,38.3891,487.44
3022.06,38.4107,472.24
3022.56,38.432,438.17
3023.08,38.4541,434.18
3023.56,38.4745,439.53
3024.06,38.4954,434.7
3024.54,38.5152,440.68
3025.06,38.5359,447.29
3025.56,38.5558,437.22
3026.06,38.5754,432.82
3027.05,38.6141,442.64
3027.6,38.635,431.71
3028.05,38.6524,431.39
3028.55,38.6713,443.09
3029.05,38.6902,448.26
3029.55,38.7092,438.92
3030.74,38.7543,438.13
3031.05,38.7663,453.34
3031.55,38.7853,442.43
3032.05,38.8046,457.47
3032.55,38.8242,448.16
3033.05,38.844,431.49
3033.44,38.8596,449.71
3034.1,38.886,433.94
3034.6,38.9061,434.45
3035.05,38.9242,442.36
3035.55,38.9445,452.46
3036.04,38.9648,457.15
3036.53,38.9843,437.32
3037.04,39.005,428.6
3037.54,39.0252,437.05
3038.04,39.0455,438.79
3038.54,39.0659,451.93
3039.04,39.0859,444.05
3039.52,39.1048,424.02
3040.04,39.1249,428.82
3040.54,39.1441,436.93
3041.04,39.1632,431.91
3041.54,39.182,420.75
3042.54,39.2194,435.66
3043.06,39.2391,449.5
3043.54,39.2575,446.08
3044.03,39.2769,435.52
3044.53,39.2966,431.73
3045.03,39.3163,432.19
3045.63,39.3406,433.11
3046.03,39.3569,437.65
3046.53,39.3775,428.46
3047.03,39.3979,424.13
3047.53,39.4186,426.5
3048.03,39.4395,432.11
3048.51,39.4598,445.44
3049.03,39.4816,462.38
3049.53,39.5027,449.34
3050.03,39.524,453.32
3050.53,39.5457,408.7
3051.02,39.5675,401.57
3051.6,39.593,414.97
3052.02,39.6115,409.04
3052.52,39.6339,414.14
3053.02,39.6564,403.15
3053.52,39.6793,398.9
3054.57,39.7281,395.92
3055.02,39.7497,401.12
3055.52,39.7743,403.85
3056.02,39.7992,413.05
3056.52,39.8245,409.21
3057.02,39.8497,410.76
3057.52,39.8751,409.69
3058.02,39.9002,400.32
3058.52,39.9254,404.31
3059.02,39.9503,403.22
3059.52,39.9751,408.54
3060.02,39.9998,404.91
3060.52,40.0244,409.28
3061.01,40.0492,415.96
3061.51,40.0741,414.55
3062.01,40.099,404.68
3062.51,40.1243,407.65
3063.03,40.1505,409.22
3063.51,40.1749,445.78
3064.01,40.2008,459.97
3064.51,40.2267,471.24
3065.01,40.2529,483.86
3065.51,40.279,486.01
3066.01,40.305,477.08
3067.01,40.3572,433.82
3067.51,40.3829,427.37
3068.01,40.4082,411.66
3068.51,40.4331,421.02
3069.01,40.4574,410.67
3069.51,40.4815,407
3070,40.5051,406.31
3071,40.5521,405.95
3071.5,40.5755,417.37
3072,40.5988,413.4
3072.5,40.622,405.53
3073,40.6448,413.05
3073.5,40.6676,400.13
3074.14,40.6961,410.6
3074.5,40.7121,413.51
3075,40.7341,417.63
3075.5,40.7562,416.66
3076,40.7784,444.49
3076.5,40.8008,421.12
3077,40.8231,420.8
3077.5,40.8455,435.99
3078,40.8677,433
3078.99,40.9118,428.46
3079.49,40.9345,412.87
3079.99,40.9576,410.87
3080.49,40.981,433.65
3080.99,41.005,442.44
3081.49,41.0295,435.32
3081.99,41.0545,429.96
3082.49,41.08,430.17
3083.01,41.1064,449.58
3083.49,41.1306,447.64
3083.99,41.1557,456.41
3084.5,41.1816,466.72
